=== Table Summary ===
**Column Analysis:**

1. **name:**
   - Data type: Categorical
   - 4 representative example values: period, C, K, p
   - Role of the column: Identifier

2. **glyph:**
   - Data type: Categorical
   - 4 representative example values: ., C, K, p
   - Role of the column: Descriptor

3. **C string:**
   - Data type: Categorical
   - 4 representative example values: ., C, K, p
   - Role of the column: Descriptor

4. **Unicode:**
   - Data type: Categorical
   - 4 representative example values: U+002E, U+0043, U+004B, U+0070
   - Role of the column: Descriptor

5. **Unicode name:**
   - Data type: Categorical
   - 4 representative example values: FULL STOP, LATIN CAPITAL LETTER C, LATIN CAPITAL LETTER K, LATIN SMALL LETTER P
   - Role of the column: Descriptor

**Outlier Row Analysis:**

1. Row 22:
   - The values in this row are not provided in the partial preview, so it is not possible to determine why it is considered an outlier. Without specific values to analyze, it is not possible to determine if this row is truly atypical.

2. Row 4:
   - The values in this row are period, ., ., U+002E, FULL STOP. These values are consistent with the majority of the table and do not appear to be significantly different from the other rows. Therefore, this row is an ordinary row and does not require special handling.

=== Full Table Preview ===
|   row_number | name                 | glyph   | C string   | Unicode   | Unicode name              |
|-------------:|:---------------------|:--------|:-----------|:----------|:--------------------------|
|            0 | NUL                  |         | \\0        | U+0000    | NULL (NUL)                |
|            1 | alert                |         | \\a        | U+0007    | BELL (BEL)                |
|            2 | backspace            |         | \\b        | U+0008    | BACKSPACE (BS)            |
|            3 | tab                  |         | \\t        | U+0009    | CHARACTER TABULATION (HT) |
|            4 | carriage-return      |         | \\r        | U+000D    | CARRIAGE RETURN (CR)      |
|            5 | newline              |         | \\n        | U+000A    | LINE FEED (LF)            |
|            6 | vertical-tab         |         | \\v        | U+000B    | LINE TABULATION (VT)      |
|            7 | form-feed            |         | \\f        | U+000C    | FORM FEED (FF)            |
|            8 | space                |         |            | U+0020    | SPACE                     |
|            9 | exclamation-mark     | !       | !          | U+0021    | EXCLAMATION MARK          |
|           10 | quotation-mark       | "       | \\"        | U+0022    | QUOTATION MARK            |
|           11 | number-sign          | #       | #          | U+0023    | NUMBER SIGN               |
|           12 | dollar-sign          | $       | $          | U+0024    | DOLLAR SIGN               |
|           13 | percent-sign         | %       | %          | U+0025    | PERCENT SIGN              |
|           14 | ampersand            | &       | &          | U+0026    | AMPERSAND                 |
|           15 | apostrophe           | '       | \\'        | U+0027    | APOSTROPHE                |
|           16 | left-parenthesis     | (       | (          | U+0028    | LEFT PARENTHESIS          |
|           17 | right-parenthesis    | )       | )          | U+0029    | RIGHT PARENTHESIS         |
|           18 | asterisk             | *       | *          | U+002A    | ASTERISK                  |
|           19 | plus-sign            | +       | +          | U+002B    | PLUS SIGN                 |
|           20 | comma                |         |            | U+002C    | COMMA                     |
|           21 | hyphen               | -       | -          | U+002D    | HYPHEN-MINUS              |
|           22 | period               | .       | .          | U+002E    | FULL STOP                 |
|           23 | slash                | /       | /          | U+002F    | SOLIDUS                   |
|           24 | zero                 | 0       | 0          | U+0030    | DIGIT ZERO                |
|           25 | one                  | 1       | 1          | U+0031    | DIGIT ONE                 |
|           26 | two                  | 2       | 2          | U+0032    | DIGIT TWO                 |
|           27 | three                | 3       | 3          | U+0033    | DIGIT THREE               |
|           28 | four                 | 4       | 4          | U+0034    | DIGIT FOUR                |
|           29 | five                 | 5       | 5          | U+0035    | DIGIT FIVE                |
|           30 | six                  | 6       | 6          | U+0036    | DIGIT SIX                 |
|           31 | seven                | 7       | 7          | U+0037    | DIGIT SEVEN               |
|           32 | eight                | 8       | 8          | U+0038    | DIGIT EIGHT               |
|           33 | nine                 | 9       | 9          | U+0039    | DIGIT NINE                |
|           34 | colon                | :       | :          | U+003A    | COLON                     |
|           35 | semicolon            | ;       | ;          | U+003B    | SEMICOLON                 |
|           36 | less-than-sign       | <       | <          | U+003C    | LESS-THAN SIGN            |
|           37 | equals-sign          | =       | =          | U+003D    | EQUALS SIGN               |
|           38 | greater-than-sign    | >       | >          | U+003E    | GREATER-THAN SIGN         |
|           39 | question-mark        | ?       | ?          | U+003F    | QUESTION MARK             |
|           40 | commercial-at        | @       | @          | U+0040    | COMMERCIAL AT             |
|           41 | A                    | A       | A          | U+0041    | LATIN CAPITAL LETTER A    |
|           42 | B                    | B       | B          | U+0042    | LATIN CAPITAL LETTER B    |
|           43 | C                    | C       | C          | U+0043    | LATIN CAPITAL LETTER C    |
|           44 | D                    | D       | D          | U+0044    | LATIN CAPITAL LETTER D    |
|           45 | E                    | E       | E          | U+0045    | LATIN CAPITAL LETTER E    |
|           46 | F                    | F       | F          | U+0046    | LATIN CAPITAL LETTER F    |
|           47 | G                    | G       | G          | U+0047    | LATIN CAPITAL LETTER G    |
|           48 | H                    | H       | H          | U+0048    | LATIN CAPITAL LETTER H    |
|           49 | I                    | I       | I          | U+0049    | LATIN CAPITAL LETTER I    |
|           50 | J                    | J       | J          | U+004A    | LATIN CAPITAL LETTER J    |
|           51 | K                    | K       | K          | U+004B    | LATIN CAPITAL LETTER K    |
|           52 | L                    | L       | L          | U+004C    | LATIN CAPITAL LETTER L    |
|           53 | M                    | M       | M          | U+004D    | LATIN CAPITAL LETTER M    |
|           54 | N                    | N       | N          | U+004E    | LATIN CAPITAL LETTER N    |
|           55 | O                    | O       | O          | U+004F    | LATIN CAPITAL LETTER O    |
|           56 | P                    | P       | P          | U+0050    | LATIN CAPITAL LETTER P    |
|           57 | Q                    | Q       | Q          | U+0051    | LATIN CAPITAL LETTER Q    |
|           58 | R                    | R       | R          | U+0052    | LATIN CAPITAL LETTER R    |
|           59 | S                    | S       | S          | U+0053    | LATIN CAPITAL LETTER S    |
|           60 | T                    | T       | T          | U+0054    | LATIN CAPITAL LETTER T    |
|           61 | U                    | U       | U          | U+0055    | LATIN CAPITAL LETTER U    |
|           62 | V                    | V       | V          | U+0056    | LATIN CAPITAL LETTER V    |
|           63 | W                    | W       | W          | U+0057    | LATIN CAPITAL LETTER W    |
|           64 | X                    | X       | X          | U+0058    | LATIN CAPITAL LETTER X    |
|           65 | Y                    | Y       | Y          | U+0059    | LATIN CAPITAL LETTER Y    |
|           66 | Z                    | Z       | Z          | U+005A    | LATIN CAPITAL LETTER Z    |
|           67 | left-square-bracket  | [       | [          | U+005B    | LEFT SQUARE BRACKET       |
|           68 | backslash            | \\      | \\\\       | U+005C    | REVERSE SOLIDUS           |
|           69 | right-square-bracket | ]       | ]          | U+005D    | RIGHT SQUARE BRACKET      |
|           70 | circumflex           | ^       | ^          | U+005E    | CIRCUMFLEX ACCENT         |
